Quantity,Part Number,Description,MPN,Vendor link,Unit Cost,Shipping Cost,Note
,,ASM_Chassis,,,,,
1,Sol-Ch-1000-1,WLD_Chassis,none,none,$0.00 ,$0.00 ,none
,,PRT_BellyPan,,,,,
,,ASM_Canopy,,,,,
,,,,,,,
,,,,,,,
1,Sol-El-2000-0,ASM_Battery,none,none,$0.00 ,$0.00 ,none
1,Sol-El-2100-0,ASM_String,none,none,$0.00 ,$0.00 ,none
1,Sol-El-2110-0,ASM_Module,none,none,$0.00 ,$0.00 ,none
1,Sol-El-2110-1,COTS_Cell_18650,none,none,$0.00 ,$0.00 ,none
,,COTS_BMS_Orion_24,,,,,
,,COTS_HMI,,,,,
,,ASM_PCM,,,,,
,,COTS_RELAY_12v,,,,,
,,PCB_PCM,,,,,
,,ASM_BPS,,,,,
,,PCB_BPS,,,,,
,,ASM_MPPT,,,,,
,,PCB_MPPT,,,,,
,,COTS_Controller_QS,,,,,
,,COTS_Motor_QS_4kW,,,,,
,,COTS_Fuse_Main,,,,,
,,COTS_Contactor_Main,,,,,
,,ASM_Lights_FL,,,,,
,,ASM_Lights_FR,,,,,
,,ASM_Lights_RL,,,,,
,,ASM_Lights_RR,,,,,
,,COTS_LED_HeadLight,,,,,
,,COTS_LED_Amber,,,,,
,,COTS_LED_TailLight,,,,,
,,COTS_LED_BrakeLight,,,,,
,,COTS_LED_BPSFaultIndicator,,,,,
,,COTS_Battery_Secondary_12v,,,,,
,,COTS_Camera,,,,,
,,,,,,,
1,Sol-Er-1000-0,ASM_SteeringWheel,none,none,$0.00 ,$0.00 ,none
1,Sol-Er-1000-1,PRT_SteeringWheel,none,none,$0.00 ,$0.00 ,none
,,ASM_Seat,,,,,
,,COTS_Seat,,,,,
,,PRT_Bracket_Seat,,,,,
,,COTS_SafetyBelts,,,,,
,,,,,,,
,,COTS_Actuator_Pedals_Brake,,,,,
,,COTS_Actuator_Pedals_Accelerator,,,,,
,,COTS_Switch_Emergency_External,,,,,
,,COTS_Duct_OutsideAir_Cockpit,,,,,
,,PRT_Actuator_Brake_Parking,,,,,
,,PRT_Enclosure_BallastBox,,,,,
,,PRT_BallastBag,,,,,
,,,,,,,
1,Sol-Vd-1000-0,ASM_Master,none,none,$0.00 ,$0.00 ,none
,,ASM_Suspension_FL,,,,,
,,PRT_ControlArm,,,,,
,,COTS_Coilover,,,,,
,,ASM_Suspension_FR,,,,,
,,ASM_Suspension_RL,,,,,
,,ASM_Suspension_RR,,,,,
,,PRT_Spindle_FL,,,,,
,,PRT_Spindle_FR,,,,,
,,COTS_BrakeCaliper,,,,,
,,PRT_BrakeRotor,,,,,
,,COTS_Wheel,,,,,
,,ASM_Swingarm_RL,,,,,
,,PRT_Swingarm_RL,,,,,
,,COTS_Shock,,,,,
,,COTS_CoilSpring,,,,,
,,ASM_Swingarm_RR,,,,,
,,PRT_Swingarm_RR,,,,,
,,ASM_Pedals,,,,,
